,Listing,Price,Address,Link,Floor_space_m²,Number_bedrooms,Area
65,Studio apartment in Oranjezicht,1550000,,https://www.privateproperty.co.za/for-sale/western-cape/cape-town/cape-town-city-bowl/oranjezicht/T3042921,40,Studio, Oranjezicht
66,1.5 Bed Apartment in Oranjezicht,1595000,,https://www.privateproperty.co.za/for-sale/western-cape/cape-town/cape-town-city-bowl/oranjezicht/T3427266,66,1.5, Oranjezicht
67,1 Bed Apartment in Oranjezicht,1650000,,https://www.privateproperty.co.za/for-sale/western-cape/cape-town/cape-town-city-bowl/oranjezicht/T2964741,57,1, Oranjezicht
68,1 Bed Apartment in Oranjezicht,1725000,,https://www.privateproperty.co.za/for-sale/western-cape/cape-town/cape-town-city-bowl/oranjezicht/T3296097,45,1, Oranjezicht
69,1 Bed Apartment in Oranjezicht,1825000,,https://www.privateproperty.co.za/for-sale/western-cape/cape-town/cape-town-city-bowl/oranjezicht/T3410847,43,1, Oranjezicht
70,1 Bed Apartment in Oranjezicht,1850000,,https://www.privateproperty.co.za/for-sale/western-cape/cape-town/cape-town-city-bowl/oranjezicht/T2079529,61,1, Oranjezicht
71,1 Bed Apartment in Oranjezicht,1895000,,https://www.privateproperty.co.za/for-sale/western-cape/cape-town/cape-town-city-bowl/oranjezicht/T3455366,68,1, Oranjezicht
72,1 Bed Apartment in Oranjezicht,1895000,,https://www.privateproperty.co.za/for-sale/western-cape/cape-town/cape-town-city-bowl/oranjezicht/T3453940,55,1, Oranjezicht
73,1 Bed Apartment in Oranjezicht,1950000,,https://www.privateproperty.co.za/for-sale/western-cape/cape-town/cape-town-city-bowl/oranjezicht/T3398085,62,1, Oranjezicht
74,2 Bed Apartment in Oranjezicht,1950000, moray,https://www.privateproperty.co.za/for-sale/western-cape/cape-town/cape-town-city-bowl/oranjezicht/moray/T3374833,69,2, Oranjezicht
75,2 Bed Apartment in Oranjezicht,1950000,,https://www.privateproperty.co.za/for-sale/western-cape/cape-town/cape-town-city-bowl/oranjezicht/T3290388,66,2, Oranjezicht
76,2 Bed Apartment in Oranjezicht,1995000,,https://www.privateproperty.co.za/for-sale/western-cape/cape-town/cape-town-city-bowl/oranjezicht/T3391160,80,2, Oranjezicht
77,1 Bed Apartment in Oranjezicht,2050000,,https://www.privateproperty.co.za/for-sale/western-cape/cape-town/cape-town-city-bowl/oranjezicht/T3411378,62,1, Oranjezicht
78,1 Bed Apartment in Oranjezicht,2195000,,https://www.privateproperty.co.za/for-sale/western-cape/cape-town/cape-town-city-bowl/oranjezicht/T3451236,71,1, Oranjezicht
79,1 Bed Apartment in Oranjezicht,2195000,,https://www.privateproperty.co.za/for-sale/western-cape/cape-town/cape-town-city-bowl/oranjezicht/T3411338,67,1, Oranjezicht
80,1 Bed Apartment in Oranjezicht,2195000,,https://www.privateproperty.co.za/for-sale/western-cape/cape-town/cape-town-city-bowl/oranjezicht/T3085617,71,1, Oranjezicht
81,2 Bed Apartment in Oranjezicht,2375000,,https://www.privateproperty.co.za/for-sale/western-cape/cape-town/cape-town-city-bowl/oranjezicht/T3008252,73,2, Oranjezicht
82,2 Bed Apartment in Oranjezicht,2450000,,https://www.privateproperty.co.za/for-sale/western-cape/cape-town/cape-town-city-bowl/oranjezicht/T3453897,88,2, Oranjezicht
83,1 Bed Apartment in Oranjezicht,2450000,,https://www.privateproperty.co.za/for-sale/western-cape/cape-town/cape-town-city-bowl/oranjezicht/T3426013,66,1, Oranjezicht
84,2 Bed Apartment in Oranjezicht,2450000,,https://www.privateproperty.co.za/for-sale/western-cape/cape-town/cape-town-city-bowl/oranjezicht/T3423735,89,2, Oranjezicht
85,2 Bed Apartment in Oranjezicht,2495000,,https://www.privateproperty.co.za/for-sale/western-cape/cape-town/cape-town-city-bowl/oranjezicht/T3437044,80,2, Oranjezicht
86,2 Bed Apartment in Oranjezicht,2500000,,https://www.privateproperty.co.za/for-sale/western-cape/cape-town/cape-town-city-bowl/oranjezicht/T2681322,71,2, Oranjezicht
87,2 Bed Apartment in Oranjezicht,2650000,,https://www.privateproperty.co.za/for-sale/western-cape/cape-town/cape-town-city-bowl/oranjezicht/T3470291,83,2, Oranjezicht
88,2 Bed Apartment in Oranjezicht,2890000,,https://www.privateproperty.co.za/for-sale/western-cape/cape-town/cape-town-city-bowl/oranjezicht/T3376900,80,2, Oranjezicht
89,1 Bed House in Oranjezicht,2900000,,https://www.privateproperty.co.za/for-sale/western-cape/cape-town/cape-town-city-bowl/oranjezicht/T3082770,97,1, Oranjezicht
90,2 Bed Apartment in Oranjezicht,2950000,,https://www.privateproperty.co.za/for-sale/western-cape/cape-town/cape-town-city-bowl/oranjezicht/T3412563,80,2, Oranjezicht
91,2 Bed Apartment in Oranjezicht,2995000,,https://www.privateproperty.co.za/for-sale/western-cape/cape-town/cape-town-city-bowl/oranjezicht/T3325763,79,2, Oranjezicht
92,3 Bed Apartment in Oranjezicht,2995000,,https://www.privateproperty.co.za/for-sale/western-cape/cape-town/cape-town-city-bowl/oranjezicht/T3290820,109,3, Oranjezicht
93,2 Bed Apartment in Oranjezicht,3050000,,https://www.privateproperty.co.za/for-sale/western-cape/cape-town/cape-town-city-bowl/oranjezicht/T3360445,146,2, Oranjezicht
94,2 Bed Apartment in Oranjezicht,3200000,,https://www.privateproperty.co.za/for-sale/western-cape/cape-town/cape-town-city-bowl/oranjezicht/T2986223,77,2, Oranjezicht
96,2 Bed Apartment in Oranjezicht,3450000,,https://www.privateproperty.co.za/for-sale/western-cape/cape-town/cape-town-city-bowl/oranjezicht/T3400857,121,2, Oranjezicht
97,2 Bed Apartment in Oranjezicht,3450000,,https://www.privateproperty.co.za/for-sale/western-cape/cape-town/cape-town-city-bowl/oranjezicht/T3190455,136,2, Oranjezicht
98,3 Bed Apartment in Oranjezicht,3495000,,https://www.privateproperty.co.za/for-sale/western-cape/cape-town/cape-town-city-bowl/oranjezicht/T2887033,110,3, Oranjezicht
100,2 Bed Apartment in Oranjezicht,4500000,,https://www.privateproperty.co.za/for-sale/western-cape/cape-town/cape-town-city-bowl/oranjezicht/T3267031,108,2, Oranjezicht
102,2 Bed Apartment in Oranjezicht,4795000,,https://www.privateproperty.co.za/for-sale/western-cape/cape-town/cape-town-city-bowl/oranjezicht/T3351660,116,2, Oranjezicht
103,3 Bed Apartment in Oranjezicht,5200000,,https://www.privateproperty.co.za/for-sale/western-cape/cape-town/cape-town-city-bowl/oranjezicht/T2811208,141,3, Oranjezicht
104,4 Bed House in Oranjezicht,5400000,,https://www.privateproperty.co.za/for-sale/western-cape/cape-town/cape-town-city-bowl/oranjezicht/T3474284,136,4, Oranjezicht
105,5 Bed Apartment in Oranjezicht,5500000,,https://www.privateproperty.co.za/for-sale/western-cape/cape-town/cape-town-city-bowl/oranjezicht/T3069540,291,5, Oranjezicht
106,3 Bed Apartment in Oranjezicht,5750000,,https://www.privateproperty.co.za/for-sale/western-cape/cape-town/cape-town-city-bowl/oranjezicht/T3388731,173,3, Oranjezicht
107,4 Bed House in Oranjezicht,5750000,,https://www.privateproperty.co.za/for-sale/western-cape/cape-town/cape-town-city-bowl/oranjezicht/T2942538,118,4, Oranjezicht
108,3 Bed House in Oranjezicht,5950000,,https://www.privateproperty.co.za/for-sale/western-cape/cape-town/cape-town-city-bowl/oranjezicht/T3392056,177,3, Oranjezicht
109,3 Bed House in Oranjezicht,5995000,,https://www.privateproperty.co.za/for-sale/western-cape/cape-town/cape-town-city-bowl/oranjezicht/T3235237,181,3, Oranjezicht
110,3 Bed House in Oranjezicht,5995000,,https://www.privateproperty.co.za/for-sale/western-cape/cape-town/cape-town-city-bowl/oranjezicht/T3013350,217,3, Oranjezicht
111,4 Bed House in Oranjezicht,6495000,,https://www.privateproperty.co.za/for-sale/western-cape/cape-town/cape-town-city-bowl/oranjezicht/T3150681,240,4, Oranjezicht
112,3 Bed House in Oranjezicht,7500000,,https://www.privateproperty.co.za/for-sale/western-cape/cape-town/cape-town-city-bowl/oranjezicht/T3416767,268,3, Oranjezicht
113,4 Bed House in Oranjezicht,8300000,,https://www.privateproperty.co.za/for-sale/western-cape/cape-town/cape-town-city-bowl/oranjezicht/T3432504,210,4, Oranjezicht
114,7 Bed House in Oranjezicht,8495000,,https://www.privateproperty.co.za/for-sale/western-cape/cape-town/cape-town-city-bowl/oranjezicht/T2488148,200,7, Oranjezicht
116,4 Bed House in Oranjezicht,9950000,,https://www.privateproperty.co.za/for-sale/western-cape/cape-town/cape-town-city-bowl/oranjezicht/T3470281,230,4, Oranjezicht
117,7 Bed House in Oranjezicht,9950000,,https://www.privateproperty.co.za/for-sale/western-cape/cape-town/cape-town-city-bowl/oranjezicht/T3451415,350,7, Oranjezicht
118,12 Bed House in Oranjezicht,10500000,,https://www.privateproperty.co.za/for-sale/western-cape/cape-town/cape-town-city-bowl/oranjezicht/T3470156,372,12, Oranjezicht
