,Listing,Price,Address,Link,Floor_space_m²,Number_bedrooms,Area
948,2 Bed House in Harfield Village,2395000,,https://www.privateproperty.co.za/for-sale/western-cape/cape-town/southern-suburbs/harfield-village/T3425016,181,2, Harfield Village
949,3 Bed House in Kenwyn,2395000,,https://www.privateproperty.co.za/for-sale/western-cape/cape-town/southern-suburbs/lansdowne/T3366066,113,3, Kenwyn
950,3 Bed Apartment in Wynberg Upper,2395000,,https://www.privateproperty.co.za/for-sale/western-cape/cape-town/southern-suburbs/wynberg/T3248650,123,3, Wynberg Upper
951,3 Bed Apartment in Rondebosch,2395000,,https://www.privateproperty.co.za/for-sale/western-cape/cape-town/southern-suburbs/rondebosch/T3245581,100,3, Rondebosch
952,3 Bed Apartment in Kenilworth Upper,2395000,,https://www.privateproperty.co.za/for-sale/western-cape/cape-town/southern-suburbs/kenilworth/T3156391,106,3, Kenilworth Upper
953,3 Bed Apartment in Claremont,2395000,,https://www.privateproperty.co.za/for-sale/western-cape/cape-town/southern-suburbs/claremont/T3079838,88,3, Claremont
954,2 Bed Apartment in Wynberg Upper,2399000,,https://www.privateproperty.co.za/for-sale/western-cape/cape-town/southern-suburbs/wynberg/T3423323,111,2, Wynberg Upper
955,3 Bed House in Plumstead,2400000,,https://www.privateproperty.co.za/for-sale/western-cape/cape-town/southern-suburbs/plumstead/T3393467,166,3, Plumstead
956,3 Bed Apartment in Kenilworth,2400000,,https://www.privateproperty.co.za/for-sale/western-cape/cape-town/southern-suburbs/kenilworth/T3324541,111,3, Kenilworth
958,1 Bed Apartment in Claremont Upper,2400000,,https://www.privateproperty.co.za/for-sale/western-cape/cape-town/southern-suburbs/claremont/T2923205,61,1, Claremont Upper
959,3 Bed House in Lansdowne,2450000,,https://www.privateproperty.co.za/for-sale/western-cape/cape-town/southern-suburbs/lansdowne/T3476646,149,3, Lansdowne
960,2 Bed Apartment in Claremont,2450000,,https://www.privateproperty.co.za/for-sale/western-cape/cape-town/southern-suburbs/claremont/T3458023,82,2, Claremont
961,3 Bed House in Rondebosch East,2450000,,https://www.privateproperty.co.za/for-sale/western-cape/cape-town/southern-suburbs/rondebosch-east/T3434234,150,3, Rondebosch East
962,2 Bed Apartment in Rondebosch,2450000,,https://www.privateproperty.co.za/for-sale/western-cape/cape-town/southern-suburbs/rondebosch/T3401238,110,2, Rondebosch
963,2 Bed Apartment in Claremont Upper,2450000,,https://www.privateproperty.co.za/for-sale/western-cape/cape-town/southern-suburbs/claremont/T3070772,81,2, Claremont Upper
964,2 Bed House in Wynberg Upper,2460000,,https://www.privateproperty.co.za/for-sale/western-cape/cape-town/southern-suburbs/wynberg/T3279055,64,2, Wynberg Upper
966,1 Bed House in Wynberg Upper,2495000,,https://www.privateproperty.co.za/for-sale/western-cape/cape-town/southern-suburbs/wynberg/T3466888,59,1, Wynberg Upper
967,3 Bed House in Claremont,2495000,,https://www.privateproperty.co.za/for-sale/western-cape/cape-town/southern-suburbs/claremont/T3461375,368,3, Claremont
968,5 Bed House in Mowbray,2495000,,https://www.privateproperty.co.za/for-sale/western-cape/cape-town/southern-suburbs/mowbray/T3457088,320,5, Mowbray
969,2 Bed Apartment in Claremont Upper,2495000,,https://www.privateproperty.co.za/for-sale/western-cape/cape-town/southern-suburbs/claremont/T3443442,90,2, Claremont Upper
970,2 Bed Apartment in Wynberg Upper,2495000,,https://www.privateproperty.co.za/for-sale/western-cape/cape-town/southern-suburbs/wynberg/T3426189,90,2, Wynberg Upper
972,5 Bed House in Mowbray,2495000,,https://www.privateproperty.co.za/for-sale/western-cape/cape-town/southern-suburbs/mowbray/T3205371,320,5, Mowbray
973,2 Bed Apartment in Claremont Upper,2495000,,https://www.privateproperty.co.za/for-sale/western-cape/cape-town/southern-suburbs/claremont/T2904052,82,2, Claremont Upper
974,4 Bed House in Southfield,2500000,,https://www.privateproperty.co.za/for-sale/western-cape/cape-town/southern-suburbs/southfield/T3458957,774,4, Southfield
975,2 Bed Apartment in Kenilworth,2520000," 9 eighty two on harfield, 82 harfield road",https://www.privateproperty.co.za/for-sale/western-cape/cape-town/southern-suburbs/kenilworth/9-eighty-two-on-harfield/82-harfield-road/T3283228,1224,2, Kenilworth
976,3 Bed Penthouse in Kenilworth Upper,2530000,,https://www.privateproperty.co.za/for-sale/western-cape/cape-town/southern-suburbs/kenilworth/T3135689,107,3, Kenilworth Upper
977,3 Bed House in Mowbray,2550000,,https://www.privateproperty.co.za/for-sale/western-cape/cape-town/southern-suburbs/mowbray/T3463352,569,3, Mowbray
978,3 Bed House in Claremont,2550000,,https://www.privateproperty.co.za/for-sale/western-cape/cape-town/southern-suburbs/claremont/T3447172,274,3, Claremont
979,3 Bed House in Kirstenhof,2550000,,https://www.privateproperty.co.za/for-sale/western-cape/cape-town/southern-suburbs/kirstenhof/T3375197,391,3, Kirstenhof
980,3 Bed House in Kirstenhof,2550000,,https://www.privateproperty.co.za/for-sale/western-cape/cape-town/southern-suburbs/kirstenhof/T3371199,97,3, Kirstenhof
981,2 Bed Duplex in Kenilworth Upper,2595000,,https://www.privateproperty.co.za/for-sale/western-cape/cape-town/southern-suburbs/kenilworth/T3454624,92,2, Kenilworth Upper
982,2 Bed Apartment in Kenilworth Upper,2595000,,https://www.privateproperty.co.za/for-sale/western-cape/cape-town/southern-suburbs/kenilworth/T3451309,92,2, Kenilworth Upper
983,6 Bed House in Wynberg,2595000,,https://www.privateproperty.co.za/for-sale/western-cape/cape-town/southern-suburbs/wynberg/T3443955,267,6, Wynberg
984,3 Bed Townhouse in Kenilworth,2595000,,https://www.privateproperty.co.za/for-sale/western-cape/cape-town/southern-suburbs/kenilworth/T3421404,109,3, Kenilworth
985,2 Bed House in Mowbray,2595000,,https://www.privateproperty.co.za/for-sale/western-cape/cape-town/southern-suburbs/mowbray/T3403164,187,2, Mowbray
986,3 Bed Apartment in Rondebosch,2595000,,https://www.privateproperty.co.za/for-sale/western-cape/cape-town/southern-suburbs/rondebosch/T3379480,100,3, Rondebosch
987,2 Bed House in Mowbray,2595000,,https://www.privateproperty.co.za/for-sale/western-cape/cape-town/southern-suburbs/mowbray/T3374898,90,2, Mowbray
